MSSubClass,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,BsmtFinSF2,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtHalfBath,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageQual,GarageCond,PavedDrive,MiscVal,EnclosedPorch,SalePrice
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,Wd Sdng,Wd Sdng,TA,Gd,CBlock,TA,TA,ALQ,Rec,258,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Detchd,TA,TA,Y,0,0,162000
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,172400
50,AllPub,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,WdShing,Plywood,TA,TA,CBlock,NA,NA,NA,NA,0,GasA,TA,Y,SBrkr,0,0,1,TA,Min2,Gd,Detchd,TA,TA,N,0,0,134432
120,AllPub,SawyerW,Norm,Norm,TwnhsE,1Story,5,Plywood,Plywood,TA,TA,CBlock,Gd,TA,ALQ,LwQ,121,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,125000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,MetalSd,MetalSd,TA,TA,PConc,TA,TA,BLQ,LwQ,180,GasA,TA,Y,SBrkr,0,0,1,TA,Min2,NA,Attchd,TA,TA,Y,0,0,123000
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,0,219500
30,AllPub,Edwards,Norm,Norm,1Fam,1Story,1,Wd Sdng,Wd Sdng,Fa,Fa,BrkTil,Fa,Po,BLQ,Unf,0,GasA,Gd,N,FuseA,0,0,1,Fa,Maj1,NA,NA,NA,NA,Y,0,0,61000
85,AllPub,CollgCr,Norm,Norm,1Fam,SFoyer,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,148000
60,AllPub,Somerst,Norm,Norm,1Fam,2Story,5,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,340000
20,AllPub,StoneBr,Norm,Norm,1Fam,1Story,2,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Ex,Attchd,TA,TA,Y,0,0,394432
60,AllPub,Gilbert,RRAn,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,179000
50,AllPub,SWISU,Norm,Norm,1Fam,1.5Fin,6,BrkFace,Wd Sdng,TA,TA,BrkTil,TA,TA,LwQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,Gd,Detchd,TA,TA,Y,0,242,127000
20,AllPub,Somerst,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,187750
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,213500
45,AllPub,SawyerW,Norm,Norm,1Fam,1.5Unf,3,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Fa,Fa,Unf,Unf,0,GasA,TA,N,FuseA,0,0,1,TA,Typ,NA,Detchd,Fa,Fa,N,0,91,76000
60,AllPub,ClearCr,Feedr,Norm,1Fam,2Story,5,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Fa,Attchd,TA,TA,Y,0,0,240000
120,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,192000
50,AllPub,Edwards,Feedr,Norm,1Fam,1.5Fin,3,Wd Sdng,VinylSd,TA,Fa,PConc,TA,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,N,0,0,81000
80,AllPub,Edwards,Norm,Norm,1Fam,SLvl,6,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,Fa,Detchd,TA,TA,Y,0,0,125000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,191000
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Ex,BuiltIn,TA,TA,Y,0,0,426000
50,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,8,MetalSd,MetalSd,TA,TA,BrkTil,TA,Gd,Rec,BLQ,391,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,112,119000
60,AllPub,Mitchel,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Ex,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,BuiltIn,TA,TA,Y,0,0,215000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,MetalSd,MetalSd,TA,TA,Slab,NA,NA,NA,NA,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,1200,0,106500
30,AllPub,BrkSide,Feedr,Norm,1Fam,1Story,5,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,TA,Y,FuseA,0,0,1,TA,Typ,TA,NA,NA,NA,Y,0,0,100000
50,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,6,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Gd,Y,FuseA,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,109000
20,AllPub,Edwards,Norm,Norm,1Fam,1Story,6,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,129000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,123000
60,AllPub,NAmes,PosN,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,169500
30,AllPub,IDOTRR,Norm,Norm,1Fam,1Story,2,MetalSd,MetalSd,TA,Fa,BrkTil,Fa,Po,Unf,Unf,0,GasA,Gd,Y,Mix,0,0,1,TA,Maj2,NA,Detchd,Po,Po,N,0,0,67000
60,AllPub,Somerst,Norm,Norm,1Fam,2Story,5,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,241000
120,AllPub,Veenker,Norm,Norm,TwnhsE,1Story,5,BrkFace,BrkFace,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,Attchd,TA,TA,Y,0,0,245500
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,164990
30,AllPub,Sawyer,Norm,Norm,1Fam,1Story,8,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,N,0,0,108000
60,AllPub,NoRidge,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,TA,BuiltIn,TA,TA,Y,0,0,258000
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,TA,BuiltIn,TA,TA,Y,0,0,168000
20,AllPub,Sawyer,Feedr,Norm,1Fam,1Story,4,Plywood,Plywood,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Min1,TA,Attchd,TA,TA,Y,0,0,150000
50,AllPub,SWISU,Norm,Norm,1Fam,1.5Fin,5,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Ex,Y,FuseA,473,0,1,TA,Maj2,NA,Detchd,TA,TA,Y,0,0,115000
70,AllPub,Crawfor,Norm,Norm,1Fam,2Story,7,Wd Sdng,Plywood,TA,TA,BrkTil,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,160,177000
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,Gd,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,280000
60,AllPub,Somerst,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,Attchd,TA,TA,Y,0,0,339750
20,AllPub,Edwards,Norm,Norm,1Fam,1Story,3,BrkComm,Brk Cmn,TA,Fa,CBlock,TA,Fa,Unf,Unf,0,GasA,TA,Y,FuseA,0,0,1,TA,Mod,NA,Attchd,TA,TA,Y,0,0,60000
190,AllPub,Gilbert,Norm,Norm,2fmCon,1Story,5,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,TA,N,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,145000
20,AllPub,Somerst,Norm,Norm,1Fam,1Story,5,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,222000
30,AllPub,OldTown,Artery,Norm,1Fam,1Story,6,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Gd,Y,FuseA,0,0,1,TA,Typ,Gd,Detchd,TA,TA,Y,0,130,115000
60,AllPub,SawyerW,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,BLQ,GLQ,531,GasA,Ex,Y,SBrkr,0,1,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,228000
20,AllPub,Gilbert,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,181134
60,AllPub,Sawyer,Norm,Norm,1Fam,2Story,7,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,149500
70,AllPub,Crawfor,Feedr,Norm,1Fam,2Story,6,Wd Sdng,Stucco,TA,TA,BrkTil,Gd,TA,BLQ,Unf,0,GasW,TA,N,FuseA,0,0,1,TA,Typ,Gd,Detchd,TA,TA,N,0,0,239000
50,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,6,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,ALQ,Unf,0,GasA,Fa,N,FuseF,0,0,1,TA,Typ,NA,Detchd,TA,TA,P,0,0,126000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,Fa,Attchd,TA,TA,Y,0,184,142000
90,AllPub,Mitchel,Norm,Norm,Duplex,SFoyer,5,VinylSd,VinylSd,TA,Gd,PConc,Gd,Gd,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,2,TA,Typ,NA,Attchd,TA,TA,Y,0,0,206300
20,AllPub,NWAmes,Norm,Norm,1Fam,1Story,7,CemntBd,CmentBd,Gd,TA,CBlock,Gd,TA,ALQ,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,215000
20,AllPub,Mitchel,Artery,Norm,1Fam,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Ex,Y,FuseA,0,0,1,TA,Typ,NA,Attchd,TA,TA,N,0,0,113000
60,AllPub,NoRidge,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,315000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,Wd Sdng,Wd Sdng,TA,TA,CBlock,Gd,TA,LwQ,Unf,0,GasA,Gd,Y,FuseA,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,139000
60,AllPub,OldTown,Norm,Norm,1Fam,2Story,8,HdBoard,HdBoard,TA,Gd,CBlock,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,Gd,Detchd,TA,TA,P,0,126,135000
80,AllPub,SawyerW,Norm,Norm,1Fam,SLvl,5,Wd Sdng,Wd Sdng,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Gd,Y,SBrkr,0,1,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,275000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,109008
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,195400
20,AllPub,Timber,Norm,Norm,1Fam,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,169,175000
160,AllPub,BrDale,Norm,Norm,Twnhs,2Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,85400
50,AllPub,OldTown,Feedr,Norm,1Fam,1.5Fin,7,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,N,0,0,79900
160,AllPub,BrDale,Norm,Norm,TwnhsE,2Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Min1,NA,Detchd,TA,TA,Y,0,0,122500
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,181000
180,AllPub,MeadowV,Norm,Norm,Twnhs,SFoyer,7,CemntBd,CmentBd,TA,Gd,CBlock,Gd,TA,ALQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,Y,0,0,81000
60,AllPub,CollgCr,PosN,Norm,1Fam,2Story,6,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,ALQ,344,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,212000
50,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,8,Stucco,Stucco,TA,TA,BrkTil,Fa,TA,Unf,Unf,0,GasA,TA,Y,FuseA,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,116000
45,AllPub,BrkSide,Norm,Norm,1Fam,1.5Unf,7,Wd Sdng,Wd Sdng,Gd,TA,PConc,TA,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,105,119000
30,AllPub,Crawfor,Norm,Norm,1Fam,1Story,6,WdShing,Stucco,TA,TA,PConc,TA,TA,LwQ,Unf,0,GasA,TA,N,SBrkr,0,0,1,Gd,Typ,Gd,Detchd,Gd,TA,P,0,34,90350
50,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,8,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,Fa,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,800,0,110000
20,AllPub,NridgHt,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,GLQ,ALQ,539,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,Attchd,TA,TA,Y,0,0,555000
90,AllPub,Edwards,Norm,Norm,Duplex,1Story,4,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,N,FuseF,0,0,2,Fa,Typ,NA,NA,NA,NA,Y,0,0,118000
50,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,7,MetalSd,MetalSd,TA,TA,PConc,TA,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Gd,Detchd,TA,TA,P,0,0,162900
120,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,5,WdShing,Wd Shng,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,172500
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,Gd,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,210000
20,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Unf,Unf,0,GasA,Fa,Y,SBrkr,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,127500
20,AllPub,NAmes,PosA,Norm,1Fam,1Story,6,BrkFace,Plywood,Gd,TA,CBlock,TA,TA,ALQ,Rec,713,GasA,Ex,Y,SBrkr,0,0,1,Gd,Mod,Gd,Attchd,TA,TA,Y,0,0,190000
60,AllPub,Gilbert,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,199900
50,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Gd,Detchd,TA,TA,N,0,0,119500
50,AllPub,OldTown,Norm,Norm,1Fam,1.5Fin,7,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,120000
30,AllPub,OldTown,Norm,Norm,1Fam,1Story,8,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Ex,Y,FuseA,0,0,1,Gd,Typ,NA,Detchd,Fa,Fa,N,0,0,110000
20,AllPub,ClearCr,Norm,Norm,1Fam,1Story,5,Plywood,Plywood,TA,TA,CBlock,Gd,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,280000
60,AllPub,Timber,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,0,0,204000
60,AllPub,Somerst,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,210000
90,AllPub,Mitchel,Norm,Norm,Duplex,1Story,5,Plywood,Plywood,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,2,TA,Typ,NA,Detchd,TA,TA,Y,0,0,188000
20,AllPub,NWAmes,Norm,Norm,1Fam,1Story,6,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Fa,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,175500
70,AllPub,OldTown,Norm,Norm,1Fam,2Story,5,AsbShng,AsbShng,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Fa,N,SBrkr,0,0,1,TA,Typ,NA,Detchd,Fa,Fa,Y,0,96,98000
20,AllPub,ClearCr,Norm,Norm,1Fam,1Story,6,Plywood,Plywood,TA,TA,CBlock,Gd,TA,BLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Min1,Gd,Attchd,TA,TA,Y,0,0,256000
70,AllPub,OldTown,Norm,Norm,1Fam,2Story,7,Stucco,Wd Shng,TA,Gd,PConc,TA,TA,Unf,Unf,0,GasA,Fa,Y,SBrkr,0,0,1,Gd,Typ,Gd,Detchd,TA,TA,Y,0,0,161000
50,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,4,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,LwQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,TA,Detchd,TA,TA,Y,0,248,110000
60,AllPub,Somerst,RRAn,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,BuiltIn,TA,TA,Y,0,0,263435
70,AllPub,SWISU,Feedr,Norm,1Fam,2Story,9,Wd Sdng,Wd Sdng,Gd,Gd,PConc,Gd,Gd,ALQ,BLQ,210,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,155000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Rec,BLQ,311,GasA,Gd,Y,SBrkr,0,0,1,TA,Typ,Po,Detchd,TA,TA,Y,0,236,62383
70,AllPub,Crawfor,Norm,Norm,1Fam,2Story,7,Stucco,Stucco,TA,TA,CBlock,TA,TA,LwQ,Unf,0,GasA,Fa,Y,FuseA,0,0,1,TA,Typ,Gd,Detchd,TA,TA,Y,0,0,188700
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Rec,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,NA,NA,NA,Y,0,0,124000
120,AllPub,Blmngtn,Norm,Norm,TwnhsE,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,178740
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,Plywood,Plywood,TA,Gd,CBlock,TA,Gd,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Po,Attchd,TA,TA,Y,0,0,167000
70,AllPub,NAmes,Artery,Norm,1Fam,2Story,7,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,LwQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,146500
20,AllPub,NridgHt,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,250000
60,AllPub,SawyerW,RRNe,Norm,1Fam,2Story,5,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,187000
120,AllPub,StoneBr,Norm,Norm,TwnhsE,1Story,5,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,GLQ,BLQ,1120,GasA,TA,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,212000
60,AllPub,NWAmes,PosA,Norm,1Fam,2Story,6,WdShing,Plywood,TA,TA,CBlock,Gd,TA,Unf,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Gd,Attchd,TA,TA,Y,0,0,190000
180,AllPub,Edwards,Norm,Norm,TwnhsE,SLvl,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Basment,TA,TA,Y,0,0,148000
20,AllPub,NridgHt,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Ex,Attchd,TA,TA,Y,0,0,440000
120,AllPub,StoneBr,Norm,Norm,TwnhsE,1Story,5,CemntBd,CmentBd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,NA,Attchd,TA,TA,Y,0,0,251000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,6,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,132500
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,208900
